titulo,precio,vendidos_estimados,link,pais
Aceite De Salmón Omega 3 Y 6 Para Perros Y Gatos 490 Ml,366,5000,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=IKnpyjAUfoiCInLu2m3h1axvPumywbIXCeoqqCeyqcdJCxi1FP2VN1tXVJU6v3XZLWuvMsQHC3boNevRlBKxpcmTkJAb7mn9dP9zGLWw8Mj0hVdTUjz0MhlkhJvmp6sEYuTC3jBVog5De7C7QlRuul2G8NRz69nHZZpaI8xN5RojN%2F8BV2fBQBTpdE1KJPACEBFuGYk%2B90Bv2daGc7nN4gVoeCaDzvfkpK3W047U5vNXSwlOy1PL%2FfoTm7Ls0qB%2Bbi5%2FUB9eYUqxT%2BpmSQT2UOtwQ%2F7QPOjOfgcj5QrIRaxnqfwqJQN8EAZQBAkxnKEcfkEow9ZweYIRPNfvG2AK3rWXUMAt0xdSLjGQAQ1Pwo2wFPXIhFcTupvQJRSfukc9Vc2DggMnJCL%2FlcJENQvzIvF0jmrAbPBiHYlzTMFHMtvxzEAI2m6eWmtU%2FKVBcsaDBCfOd5M0k9%2BDFJjzwWc6pRTsQ2jUHypL2LJ1SnMASoRXHXtk%2FDMPiK4Yrd8qQVA5Ao6aMuvrApleCnqW5mnIaHxc13VeNnzEVlJScpLj5r7BkY20%2FI%2Ffm1z58vJSl2v4qHtRxi12mvJ53%2BJLdEC2RB27kyEI7tZIySdpza61GVu92lQe0MXrpy3f7CwLSNtxqXGgKNZx6xTIPSKgJwY6qjJ24JlIoyzQobGiO%2F1VMwzNveknpfN%2F3rSATG6X29PK8VfJoZuyD07XZrRYlbQtQzmZt3NcgO6nfGnfpWTQc909UeCAdRWHgmRCUbGCmbGA0u6ek8Cf66zIACtCMcExI0cQc2sHYtTbxfWHDKdBDCFXqjz%2FSaF2%2B217nhqqqC8KI%2BiKpBMY00X2ap8BQC4ua02Xv9rMoKVknbldsoOR6ugm8qBTbhthnIGxz6KVplAnzf4%2BDmo0fAHCgdM0bTxwmYMc%2BdHVZBjpsfpaLpiE2GzOLQs6NcE6NjaoTtGwWw%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLM43472642&backend_model=search-backend&search_layout=stack&position=11&type=pad&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2189667507&sid=search,Mexico
9pcs Cepillo Deslanador Perro Gato Vapor Mascota Masajeador,281,100,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=tkXEaeFhya0q86YNTuArhqdGi8w70z%2F0LLrmtbTeyRWcUZnZBvwtWyoBoKMOmgDEd9ph%2BHcxGG5nscu%2B0twiTka56PZNX4Wn20XWMxAEEZahGelrpOOAkslWW6Wyw1U2k%2FK99eNTbrqWF2eIgQ1Qe2Zfx5V2ELT3GLHEqeVaZeoPuEVR%2Fl5uDr%2FOOuir0EcaAh902tvh4jdazgfPZ5DHs6KKIWtuVo7m%2B45EpTCrmOAp2SMRj9Y4aMNs2mOaD48GvSeffSH%2F7C98J3stnjENV6ISUlYKFOxuMM4Ujk09oKQtGTx1%2B7UChVwp%2Fd%2FxCDjW31rX7wilJ67OohU5EN%2BbhQkMict3dlDlldiW3GMWjQdsrk1eFjsANxYCeKgPqgO9gT0MAU3FmVkovJfQbeGP2Xr2y8%2ByrHGFJbrf3HjKKrBgLR7MsIfwIkKOwHocLxAkkHesY%2FUobi0zlkndlzyQNw2hlnr5BuhgDh2gQCRxwcXCTk88PqMT9TAmkcYyADW5hUdRsckALFsJpcxw37FZxD9xI63JBFm0nvzNN9hDDSW61M5jf8TKxDN1Or7yYvtHgNTx4VZ58qf0Phrj7NUhPuUPfspQg0RkkkM8lOdoP6PEzEPNyI2Lft3rswAdRFfEx3wXSFyk2Y1eIhLq1GFnI%2FcJDKNKaz3ZCTP9OubqfWVUNkTMgXlAcKpUeurxJ90yZV5WkWumm79otcdnwIhd0hrqTEuJ6Y6o%2BF4ExIiLp3a3ztVA%2BV%2BiprWtHA9X%2B%2FNGuMgSLYMP5VvDtBhoT35pZ6ImG3Fd4QeAJxpVJsjCGLq6e8Q9ANcbXt8%2F7DbKHP%2BuF3tUvvsW%2F9hA%2BVxz42d7OWNLRRTlEVI6WGm%2FZr8C3%2BcFzgxxy91hVD4mW6eIYwkVBbnKomRveTYG0qcorh6U3q6Sa8UKQ8W3TUhIkjnnqCuOvKcW3DEI0r1Qab0G2XHjeYDU&searchVariation=190658775813#polycard_client=search-nordic&is_advertising=true&searchVariation=190658775813&backend_model=search-backend&search_layout=stack&position=12&type=pad&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328,Mexico
Alimento Premium Hi Multipro Adulto 25kg,1079,50000,https://www.mercadolibre.com.mx/alimento-premium-hi-multipro-adulto-25kg/p/MLM10007902#polycard_client=search-nordic&search_layout=stack&position=13&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM847594004&sid=search,Mexico
Shampoo Perro Consentido Antiplagas Antipulgas 500 Ml Neutra Grisi Pet,96,5000,https://www.mercadolibre.com.mx/shampoo-perro-consentido-antiplagas-antipulgas-500-ml-neutra-grisi-pet/p/MLM29100162#polycard_client=search-nordic&search_layout=stack&position=14&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM4033177386&sid=search,Mexico
Pechera Arnés De Seguridad Para Perro Chico Mediano Y Grande Color Rosa Talla Del Arnés M,199,1000,https://www.mercadolibre.com.mx/pechera-arnes-de-seguridad-para-perro-chico-mediano-y-grande-color-rosa-talla-del-arnes-m/p/MLM57713749#polycard_client=search-nordic&search_layout=stack&position=15&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2467195905&sid=search,Mexico
Medical Solutions Multivitaminico Immune Tabletas Para Perros 60 Pz Fancy Pets,209,1000,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=g2Ih07YrI1DYMVp1UlwFTQ6JR1MQyterqdS1TA4SNEMyFw8TsH%2Bp7qNgAupw5ZbncJZK4uow%2F0k7Xfw3F8pn7K3C61B3AX4wahg04jRTgll%2FH%2FFeY4gCEEHdUGA52ukdD6Ix%2Fzm8Ss7310MnH25wpzpZevafpYBHDicbJwdhZcl99b2RVuYQjiUGwpXJylofGHSMLZfIltt4%2FmmoDb%2Bdm0b9VbSsXK1%2BwNcWHieMx7cphre98R9Y3CiqEfuVt3cnBrICsXrD7oF%2FXUXqp5BGlPV2RF52LxpsMQr09sIbyF2xc%2BUavnGf9g8L3xZyywnUbYIWhFQbJymXUqTPaY0JWyo%2BPQ5QYLS5xaYkTNGJoBJenxnwOGbK47Ye7BIJltDSqnJV6WLd18ABlW5gOjochSotNxsv8GWAjuZuRpiMiq7nKaHOtQxH%2F%2FJWSmorc6KDmmV7zaTCESI5fsr0cr%2FOW8iA1ImCSM5rQJ%2BAgl%2BfRelxKqWrY%2F56eibXGwAKzH4JcrEq6GpmC6JmaNiONhGrYkP7TKH5Mpv1CxTyq0jE2FiNrofH9OoBC3jeKJ2ELehwG7kw8E%2F%2Bf67LRVkI27VPJLXmzBJIskyiNaKXzTiSWJFFh%2FpPH4mA2bikPpfTYRFOBWAXA%2FOFu1zi4HBPtDV2MK6Sa7szEV5xLplmE9A5n2Xi6W0pRuYvZbYOJ32GIsMGzTyGdYcAa7ejoxnIDv%2BdNNgn%2FIMtCl%2F%2BrRBYkGUCEbAjdUzPOpSp1gscMyxocFUbUxB%2F3y6YXGoAJTgcFKyC5nMDxONMzA77I6LcayHC6EVYxD0%2BRAfLfH31EJn0ZU%2Bk98EirUn1y79ZGrC5ksWQv9kIYrnnkhLbUtPsGubhc%2F15csoEITdweXCZQ3UT6%2BWhUdDoASWBnKZsMJiffNT3nXaDvrjaPnn0EB3m8ya821NKzxLGYbCetexgVTlm%2F5Sh5KVSaNgMomdAA7Fa%2FZgpp36Nza4d#polycard_client=search-nordic&is_advertising=true&searchVariation=MLM41608515&backend_model=search-backend&search_layout=stack&position=16&type=pad&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2194068853&sid=search,Mexico
"Maquina cortadora para perlos y gatos, rasuradora perros electrica WISHSKY. Ideal para regalar Uso rudo, larga duración, silenciosa, sin calor, LED, fácil limpieza.",641,500,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=L6tzFhm1t%2BZKQpm5YHshDK5oV32WUUG6eVPJW9Iz%2BmyUc9irlP1kDJT3RipArBtyjgv2NrhedrrNJEHJh6c10dUpweuag7SzRa68UeODNQlMfIJfDjmhW27uUykrXa%2Fyh%2B%2FbVi08NwL%2BO%2FSuERbaKPnFalRr5aADRr%2FHbYHVLBtheALh89n%2FqMLDCpaBpKgGIW43ij4X4TYOfoU0Iz%2BgvtYMVI2fIrtN5i6PjSDqvoc7dIw6tU1MmY%2BHXmQFyI8Bq%2BDOnCeHzDZzfZyrVicM3v0jjS6VbEDgKcPVCGplKgx5sGxtj5gT%2FI%2F232%2BASH7o02Akry0AVJXi40MljmRW9cIWBGB8xYOoyHDb%2FCdd2SIuHYXZlBCKHTsC7A5yb%2FqiXrOvsPEexGR8dXYEU3RIEJ13xnLGVQzB4zkvZ8ZXMy1LmJECprrYdwdcUEf%2Bwy%2FyEBpQLb9n7WRjS%2FFoZFd9pXxlkTtuswZ%2FjZ6Fn8LVX6ggtNOX%2BgwXol5Z8Nae6uIQYHw5x9LfFKn2BEyw80QxraIEkYx83p5CUX1VYLJ8o5IdytOg5Nv5H6Kpsv9LQvEr4hNCzCo6hKAlB7WWJcIZV6Jbqek7RDhFk8DK7QF05hUKDdqRJiFSBhVitIMvpd%2BzZ41TNvL%2FEKd4LUQk7GPTpa2uTJS1Uf3jQJ0F5c2S8QA9P%2FPq2U7kPd9%2FmK9Ghjw8ioTZL3oIcO%2FQld%2F98cqZdCtDFXffD4GnQFIgwkMgy7v6XlHxY067p17o6P6WINv%2BUJowCxyp4aSBOkg2vyKGXBTOBaE334PwGuBqV5UVsGuFUxqK8BhfCz%2F1j4HenrGu99IpX7E1bxnLd0Vxiz5n80xRAFidj1mAXIVQv3%2BTIodFW2yClKiBqyOgi61oZf9jRMMI8YaCBDzNPaOZEnOVQIrriPQq%2Bh0mtcchawAFqkwOc58Erq1n4cbxDhwbi1S5PTRX6QC9pV%2B9Fd36LqSLn7%2FOeWo0fXIWrW2CsaGrzc2Of%2B6VCNhceI9sbDDJNpP3vtRroNY279WAnegxLmRE7HntQGpeLsoQ3jcI4%2FGjrlm5p6aCDcoGO6z%2BqnlvnMFP%2B5kS#polycard_client=search-nordic&is_advertising=true&searchVariation=MLM51930155&backend_model=search-backend&search_layout=stack&position=17&type=pad&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2490885659&sid=search,Mexico
"Magma Life Cama para Perros Mediana: Máximo Confort, Cama Ergonómica de Poliéster en Color Gris, Proporciona Frescura y Suavidad, ¡Ideal para el Descanso de su Perro!",749,500,https://www.mercadolibre.com.mx/magma-life-cama-para-perros-mediana-maximo-confort-cama-ergonomica-de-poliester-en-color-gris-proporciona-frescura-y-suavidad-ideal-para-el-descanso-de-su-perro/p/MLM45254355#polycard_client=search-nordic&search_layout=stack&position=18&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2215682523&sid=search,Mexico
3 In 1 Depilación Cepillo De Vapor Para Gato/perro Mascota,148,1000,https://www.mercadolibre.com.mx/3-in-1-depilacion-cepillo-de-vapor-para-gatoperro-mascota/p/MLM45335234#polycard_client=search-nordic&search_layout=stack&position=19&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2217307441&sid=search,Mexico
Collar y cuerda para perros medianos y grandes talle M GOOPEET color negro,207,1000,https://www.mercadolibre.com.mx/collar-y-cuerda-para-perros-medianos-y-grandes-talle-m-goopeet-color-negro/p/MLM44187530#polycard_client=search-nordic&search_layout=stack&position=20&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM4028494394&sid=search,Mexico
Virbac Nutri Plus Gel Tubo 120.5 G Complemento Nutricional Aminoácidos Perro/Gato,389,50000,https://www.mercadolibre.com.mx/virbac-nutri-plus-gel-tubo-1205-g-complemento-nutricional-aminoacidos-perrogato/p/MLM21622880#polycard_client=search-nordic&search_layout=stack&position=21&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM4257810990&sid=search,Mexico
"Comedero Y Bebedero Para Mascotas 2 En 1 2300ml + 1000ml Adecuado Para Gatos Y Perros Base Hermética, Fácil De Limpiar, Apto Para Comederos Automáticos Color Gris",586,500,https://www.mercadolibre.com.mx/comedero-y-bebedero-para-mascotas-2-en-1-2300ml-1000ml-adecuado-para-gatos-y-perros-base-hermetica-facil-de-limpiar-apto-para-comederos-automaticos-color-gris/p/MLM50596246#polycard_client=search-nordic&search_layout=stack&position=22&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2331006349&sid=search,Mexico
Alimento Pro Plan OptiHealth Pro Plan para perro adulto de raza pequeña sabor pollo y arroz de 7.5 kg,1089,10000,https://www.mercadolibre.com.mx/alimento-pro-plan-optihealth-pro-plan-para-perro-adulto-de-raza-pequena-sabor-pollo-y-arroz-de-75-kg/p/MLM8852665#polycard_client=search-nordic&search_layout=stack&position=23&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2543299519&sid=search,Mexico
Shampoo Para Cachorros 280 Ml Thankful Dog Vainilla,84,1000,https://www.mercadolibre.com.mx/shampoo-para-cachorros-280-ml-thankful-dog-vainilla/p/MLM24680330#polycard_client=search-nordic&search_layout=stack&position=24&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM3958284554&sid=search,Mexico
Pechera Perro Arnes Seguridad Mr Wuff Chico Mediano Y Grande Rojo L42-56cm,121,100,https://www.mercadolibre.com.mx/pechera-perro-arnes-seguridad-mr-wuff-chico-mediano-y-grande-rojo-l42-56cm/p/MLM55893412#polycard_client=search-nordic&search_layout=stack&position=25&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2452730505&sid=search,Mexico
"Cama Chica Para Perro O Gato Forro Suave, Color Negro / Gris",298,1000,https://www.mercadolibre.com.mx/cama-chica-para-perro-o-gato-forro-suave-color-negro-gris/p/MLM26450837#polycard_client=search-nordic&search_layout=stack&position=26&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM1939751819&sid=search,Mexico
Genérico Cepillo De Vapor 3 En 1 Autolimpiante Talle S Color Amarillo,67,1000,https://www.mercadolibre.com.mx/generico-cepillo-de-vapor-3-en-1-autolimpiante-talle-s-color-amarillo/p/MLM36920294#polycard_client=search-nordic&search_layout=stack&position=27&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM4289503772&sid=search,Mexico
Collar y cuerda para perros medianos y grandes talle XL GOOPEET,169,1000,https://www.mercadolibre.com.mx/collar-y-cuerda-para-perros-medianos-y-grandes-talle-xl-goopeet/p/MLM44186812#polycard_client=search-nordic&search_layout=stack&position=28&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2302022119&sid=search,Mexico
Complete Mobility Perros C/condroitina Y Glucosamina 120 Tab,749,5000,https://www.mercadolibre.com.mx/complete-mobility-perros-ccondroitina-y-glucosamina-120-tab/p/MLM41210878#polycard_client=search-nordic&search_layout=stack&position=29&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2584296981&sid=search,Mexico
